Activity Period,Operating Airline,GEO Summary,Activity Type Code,Price Category Code,Terminal,Passenger Count,Month
200507,0,0,0,0,0,27271,0
200507,0,0,1,0,0,29131,0
200507,0,0,2,0,0,5415,0
200507,1,1,0,1,0,35156,0
200507,1,1,1,1,0,34090,0
200507,2,1,0,1,1,6263,0
200507,2,1,1,1,1,5500,0
200507,3,1,0,1,1,12050,0
200507,3,1,1,1,1,11638,0
200507,4,1,0,1,1,4998,0
200507,4,1,1,1,1,4962,0
200507,5,0,0,0,1,8055,0
200507,5,0,1,0,1,7984,0
200507,6,0,0,1,1,36641,0
200507,6,0,1,1,1,39379,0
200507,6,0,2,1,1,3678,0
200507,6,1,0,1,1,7977,0
200507,6,1,1,1,1,8837,0
200507,6,1,0,1,1,6969,0
200507,6,1,1,1,1,10046,0
200507,6,1,2,1,1,2266,0
200507,7,1,0,1,1,6545,0
200507,7,1,1,1,1,6094,0
200507,8,0,0,1,2,166577,0
200507,8,0,1,1,2,160890,0
200507,9,0,0,1,2,5493,0
200507,9,0,1,1,2,5213,0
200507,10,1,0,1,1,5041,0
200507,10,1,1,1,1,4744,0
200507,11,0,0,1,0,1552,0
200507,11,0,1,1,0,1484,0
200507,12,1,0,1,1,325,0
200507,12,1,1,1,1,545,0
200507,13,1,0,1,1,20632,0
200507,13,1,1,1,1,21686,0
200507,14,1,0,1,1,11010,0
200507,14,1,1,1,1,9628,0
200507,15,1,0,1,1,13638,0
200507,15,1,1,1,1,11255,0
200507,16,0,0,1,0,97510,0
200507,16,0,1,1,0,93791,0
200507,17,1,0,1,1,14142,0
200507,17,1,1,1,1,12132,0
200507,18,0,0,0,0,19234,0
200507,18,0,1,0,0,18368,0
200507,19,0,0,1,0,7579,0
200507,19,0,1,1,0,7658,0
200507,20,0,0,1,0,5284,0
200507,20,0,1,1,0,5257,0
200507,21,1,0,1,1,4540,0
200507,21,1,1,1,1,4341,0
200507,22,0,0,0,1,10843,0
200507,22,0,1,0,1,10967,0
200507,23,1,0,1,1,9195,0
200507,23,1,1,1,1,9086,0
200507,24,1,0,1,1,9978,0
200507,24,1,1,1,1,9587,0
200507,25,1,0,1,1,6153,0
200507,25,1,1,1,1,5646,0
200507,26,1,0,1,1,22389,0
200507,26,1,1,1,1,20511,0
200507,27,0,0,1,0,2636,0
200507,27,0,1,1,0,2535,0
200507,28,1,0,1,1,7751,0
200507,28,1,1,1,1,7845,0
200507,29,0,0,1,0,1797,0
200507,29,0,1,1,0,3238,0
200507,30,0,0,1,0,64231,0
200507,30,0,1,1,0,62049,0
200507,30,1,0,1,1,7229,0
200507,30,1,1,1,1,6554,0
200507,31,1,0,1,1,12828,0
200507,31,1,1,1,1,10269,0
200507,32,1,0,1,1,19211,0
200507,32,1,1,1,1,17462,0
200507,33,0,0,1,0,7262,0
200507,33,0,1,1,0,6586,0
200507,33,0,0,1,2,103279,0
200507,33,0,1,1,2,102023,0
200507,33,1,0,1,2,3688,0
200507,33,1,1,1,2,3633,0
200507,34,0,0,0,0,4827,0
200507,34,0,1,0,0,4784,0
200507,35,1,0,1,1,6324,0
200507,35,1,1,1,1,7031,0
200507,36,0,0,1,0,46042,0
200507,36,0,1,1,0,45553,0
200507,36,0,0,0,0,38951,0
200507,36,0,1,0,0,37848,0
200507,37,0,0,1,0,62178,0
200507,37,0,1,1,0,60939,0
200507,38,0,0,0,2,58767,0
200507,38,0,1,0,2,58277,0
200507,38,0,0,1,2,443656,0
200507,38,0,1,1,2,421802,0
200507,38,0,2,1,2,11388,0
200507,38,1,0,1,1,77658,0
200507,38,1,1,1,1,68278,0
200507,38,1,2,1,1,3953,0
200507,38,1,0,1,1,8603,0
200507,38,1,1,1,1,8234,0
200507,38,1,2,1,1,1385,0
200507,38,1,0,1,2,12874,0
200507,38,1,1,1,2,12085,0
200507,38,1,2,1,2,10,0
200507,38,1,0,1,1,30796,0
200507,38,1,1,1,1,29283,0
200507,38,1,2,1,1,888,0
200507,38,1,0,1,1,9537,0
200507,38,1,1,1,1,9672,0
200507,38,1,2,1,1,45,0
200507,39,1,0,1,1,11684,0
200507,39,1,1,1,1,10771,0
200507,40,1,0,1,1,2480,0
200507,40,1,1,1,1,2211,0
200508,0,0,0,0,0,27472,1
200508,0,0,1,0,0,26535,1
200508,0,0,2,0,0,5712,1
200508,1,1,0,1,0,34878,1
200508,1,1,1,1,0,34105,1
